retention_in_hour,count
0, 14231
1, 1080
2, 175
3, 4416
4, 2202
5, 929
6, 214
7, 1938
8, 313
9, 348
10, 117
11, 195
12, 32
13, 8
14, 400
15, 23
16, 308
17, 187
18, 3244
19, 39
20, 877
21, 1846
22, 49
23, 1065
24, 251
25, 6594
26, 220
27, 27
28, 32
29, 271
30, 45
31, 314
32, 3
33, 19
34, 114
35, 109
36, 1
37, 6
38, 6
39, 524
40, 194
41, 2
42, 2520
43, 10
44, 73
45, 34
46, 3018
47, 962
48, 395
49, 189
50, 86
51, 473
52, 36
53, 2
54, 20
55, 562
56, 18
57, 4
58, 2
59, 278
60, 6
61, 25
62, 28
63, 1
64, 1301
65, 841
66, 43
67, 1
68, 142
69, 47
70, 157
71, 1979
72, 122
73, 598
74, 8
75, 2039
76, 382833
77, 24
78, 10
80, 21
81, 235
82, 326
83, 1
84, 1
85, 2584
86, 17
88, 2
89, 921
91, 1248
92, 19
93, 4275
94, 235
95, 1449
97, 1711
99, 282
101, 197
102, 22
105, 1575
106, 151
113, 111
114, 77
115, 593
116, 276
118, 141
119, 4407
120, 10
121, 5
126, 8
127, 1145
129, 1
130, 1
133, 271
135, 4
136, 90
138, 35
139, 730
141, 1
142, 1
143, 928
144, 16
147, 5905
150, 267
152, 3212
153, 6
154, 1
157, 78
158, 1
161, 80
164, 725
167, 1065
