write_interval_in_hour,count
1610161,20617
590059,18538
10001,1234
910091,23845
730073,10924
390039,19479
660066,22412
1670167,24709
1060106,8310
560056,24360
780078,18547
860086,20102
740074,15174
290029,13288
520052,22532
80008,9744
610061,22933
1220122,26639
1020102,25107
440044,12644
950095,24646
1380138,8292
1360136,9732
90009,8499
1150115,25098
1040104,6955
1440144,8385
430043,11391
1000100,23076
920092,20392
120012,13082
1310131,13088
1070107,27541
700070,9092
250025,18091
1520152,22112
620062,23428
350035,20588
840084,15978
670067,20931
1190119,15051
480048,13708
630063,18859
1600160,22985
1110111,25991
1420142,12167
450045,9010
870087,16970
1470147,18226
40004,4984
770077,8364
360036,17549
790079,11876
1570157,16707
1490149,7780
180018,15136
530053,22029
220022,17972
1400140,20588
1350135,12616
850085,23073
1080108,26883
30003,3672
1540154,16967
1340134,12675
1410141,15331
1680168,32
1200120,16542
1560156,17378
130013,15099
300030,14953
1120112,12643
100010,9865
750075,9252
1280128,13059
160016,12939
0,274
1370137,12581
570057,21637
330033,19021
830083,19243
370037,12644
1290129,7238
1160116,20998
1240124,9569
1250125,12966
240024,14027
1390139,18472
1210121,18723
640064,13676
200020,9513
900090,24294
1650165,25095
310031,17453
140014,3785
320032,19624
1270127,8964
690069,19016
260026,16360
940094,19364
1260126,12998
760076,9958
1130113,8451
1330133,13284
50005,6257
960096,16390
190019,14580
1170117,23552
1140114,18309
1500150,22374
1580158,21192
270027,13482
880088,26019
540054,22505
1320132,19779
60006,7844
420042,13103
510051,19177
930093,19398
1050105,10277
600060,8274
1510151,18766
1180118,24458
1590159,15300
400040,17614
470047,17285
1100110,26760
550055,20393
500050,20902
1010101,19338
1030103,25602
490049,15881
410041,19303
810081,23974
340034,21260
580058,19013
1300130,12588
1530153,16034
230023,16175
1450145,24419
1630163,25056
280028,13419
1550155,26052
820082,17864
170017,11457
1660166,24416
1480148,18018
70007,8931
110011,13183
710071,9990
20002,1975
680068,19597
1620162,17857
650065,26250
1430143,15778
460046,15880
890089,21506
800080,17633
1640164,18214
210021,15474
990099,19713
1230123,19331
970097,27109
1460146,21351
150015,11319
720072,11400
380038,22920
980098,18439
1090109,17163
