prxy, 2950195.83478299, 3245.21541826129
Financial, 1729028.96655278, 1901.93186320806
WebSearch, 611838.856365447, 673.022742001991
cello, 363154.966010559, 399.470462611615
hm, 343419.248968063, 377.76117386487
postmark, 308225.587377056, 339.048146114761
usr, 154464.165687936, 169.910582256729
wdev, 66799.7061134559, 73.4796767248015
src, 66725.78973469, 73.398368708159
proj, 64479.9785960587, 70.9279764556646
ts, 54652.2408366215, 60.1174649202836
stg, 49679.5369144866, 54.6474906059353
web, 41815.7136739805, 45.9972850413786
prn, 40966.3248439901, 45.0629573283891
rsrch, 39810.2519331762, 43.7912771264938
mds, 36528.7940382897, 40.1816734421187
mail, 23611.5362780106, 25.9726899058117
webvm, 2415.53994458695, 2.65709393904564
homes, 511.000122936972, 0.56210013523067
